,index,date,time,open,high,low,close,id
8849,BANKNIFTY,20121106,13:00,11479.0,11481.3,11475.35,11475.35,2012NOVBNF.txt
8909,BANKNIFTY,20121106,14:00,11491.7,11491.7,11487.1,11488.5,2012NOVBNF.txt
8969,BANKNIFTY,20121106,15:00,11512.35,11513.75,11511.05,11511.05,2012NOVBNF.txt
8999,BANKNIFTY,20121106,15:30,11557.8,11568.45,11557.2,11560.05,2012NOVBNF.txt
9000,BANKNIFTY,20121107,09:16,11548.5,11558.2,11543.0,11558.2,2012NOVBNF.txt
9044,BANKNIFTY,20121107,10:00,11629.5,11630.35,11624.8,11624.8,2012NOVBNF.txt
9104,BANKNIFTY,20121107,11:00,11662.8,11666.05,11662.8,11664.1,2012NOVBNF.txt
9164,BANKNIFTY,20121107,12:00,11691.95,11693.6,11691.4,11693.6,2012NOVBNF.txt
9224,BANKNIFTY,20121107,13:00,11701.0,11703.6,11701.0,11701.55,2012NOVBNF.txt
9284,BANKNIFTY,20121107,14:00,11673.45,11674.4,11671.75,11672.0,2012NOVBNF.txt
9344,BANKNIFTY,20121107,15:00,11653.75,11660.2,11652.3,11660.2,2012NOVBNF.txt
9374,BANKNIFTY,20121107,15:30,11656.4,11663.4,11655.25,11658.7,2012NOVBNF.txt
9375,BANKNIFTY,20121108,09:16,11543.7,11555.15,11542.55,11549.35,2012NOVBNF.txt
9419,BANKNIFTY,20121108,10:00,11593.65,11598.25,11593.65,11595.05,2012NOVBNF.txt
9479,BANKNIFTY,20121108,11:00,11611.45,11614.05,11611.35,11613.65,2012NOVBNF.txt
9539,BANKNIFTY,20121108,12:00,11597.95,11597.95,11594.65,11595.35,2012NOVBNF.txt
9599,BANKNIFTY,20121108,13:00,11559.45,11561.3,11559.3,11561.3,2012NOVBNF.txt
9659,BANKNIFTY,20121108,14:00,11623.15,11623.55,11621.2,11622.0,2012NOVBNF.txt
9719,BANKNIFTY,20121108,15:00,11598.05,11605.15,11598.05,11600.8,2012NOVBNF.txt
9749,BANKNIFTY,20121108,15:30,11621.0,11625.55,11618.9,11618.9,2012NOVBNF.txt
9750,BANKNIFTY,20121109,09:16,11611.1,11627.85,11603.7,11627.85,2012NOVBNF.txt
9794,BANKNIFTY,20121109,10:00,11629.4,11632.9,11629.15,11632.9,2012NOVBNF.txt
9854,BANKNIFTY,20121109,11:00,11617.0,11617.0,11614.0,11614.45,2012NOVBNF.txt
9914,BANKNIFTY,20121109,12:00,11600.35,11607.55,11600.1,11607.55,2012NOVBNF.txt
9974,BANKNIFTY,20121109,13:00,11527.1,11528.35,11521.9,11527.15,2012NOVBNF.txt
10034,BANKNIFTY,20121109,14:00,11469.4,11470.55,11462.4,11462.4,2012NOVBNF.txt
10094,BANKNIFTY,20121109,15:00,11508.15,11508.45,11504.4,11505.1,2012NOVBNF.txt
10124,BANKNIFTY,20121109,15:30,11472.7,11485.8,11470.6,11485.8,2012NOVBNF.txt
10125,BANKNIFTY,20121112,09:16,11501.95,11513.45,11489.3,11513.45,2012NOVBNF.txt
10169,BANKNIFTY,20121112,10:00,11524.45,11526.5,11524.45,11525.6,2012NOVBNF.txt
10229,BANKNIFTY,20121112,11:00,11465.85,11479.3,11465.0,11477.75,2012NOVBNF.txt
10289,BANKNIFTY,20121112,12:00,11579.0,11579.85,11576.7,11578.55,2012NOVBNF.txt
10349,BANKNIFTY,20121112,13:00,11529.3,11530.5,11505.8,11505.8,2012NOVBNF.txt
10409,BANKNIFTY,20121112,14:00,11579.25,11579.25,11575.25,11575.25,2012NOVBNF.txt
10469,BANKNIFTY,20121112,15:00,11570.55,11570.55,11566.85,11568.2,2012NOVBNF.txt
10499,BANKNIFTY,20121112,15:30,11602.75,11608.8,11602.6,11608.8,2012NOVBNF.txt
10500,BANKNIFTY,20121115,09:16,11476.85,11476.85,11419.05,11432.65,2012NOVBNF.txt
10544,BANKNIFTY,20121115,10:00,11487.75,11490.3,11487.75,11490.3,2012NOVBNF.txt
10604,BANKNIFTY,20121115,11:00,11462.95,11462.95,11456.7,11458.3,2012NOVBNF.txt
10664,BANKNIFTY,20121115,12:00,11454.45,11456.15,11453.55,11454.6,2012NOVBNF.txt
10724,BANKNIFTY,20121115,13:00,11470.3,11471.2,11469.0,11469.3,2012NOVBNF.txt
10784,BANKNIFTY,20121115,14:00,11504.3,11508.35,11503.45,11503.45,2012NOVBNF.txt
10844,BANKNIFTY,20121115,15:00,11496.75,11505.95,11496.75,11504.35,2012NOVBNF.txt
10874,BANKNIFTY,20121115,15:30,11522.85,11530.25,11522.5,11523.65,2012NOVBNF.txt
10875,BANKNIFTY,20121116,09:16,11495.1,11525.15,11494.4,11520.6,2012NOVBNF.txt
10919,BANKNIFTY,20121116,10:00,11536.0,11537.15,11533.75,11536.55,2012NOVBNF.txt
10979,BANKNIFTY,20121116,11:00,11520.0,11520.0,11516.8,11519.7,2012NOVBNF.txt
11039,BANKNIFTY,20121116,12:00,11493.65,11496.8,11492.75,11494.0,2012NOVBNF.txt
11099,BANKNIFTY,20121116,13:00,11498.25,11498.9,11496.95,11497.25,2012NOVBNF.txt
11159,BANKNIFTY,20121116,14:00,11489.3,11493.2,11488.5,11488.9,2012NOVBNF.txt
11219,BANKNIFTY,20121116,15:00,11381.4,11385.7,11374.15,11374.15,2012NOVBNF.txt
11249,BANKNIFTY,20121116,15:30,11319.0,11331.5,11319.0,11328.05,2012NOVBNF.txt
11250,BANKNIFTY,20121119,09:16,11346.95,11362.6,11346.95,11362.6,2012NOVBNF.txt
11294,BANKNIFTY,20121119,10:00,11292.25,11292.25,11283.05,11283.05,2012NOVBNF.txt
11354,BANKNIFTY,20121119,11:00,11280.7,11281.0,11278.15,11278.15,2012NOVBNF.txt
11414,BANKNIFTY,20121119,12:00,11295.4,11297.4,11295.3,11295.3,2012NOVBNF.txt
11474,BANKNIFTY,20121119,13:00,11294.45,11296.05,11293.7,11295.45,2012NOVBNF.txt
11534,BANKNIFTY,20121119,14:00,11275.95,11276.95,11269.55,11269.55,2012NOVBNF.txt
11594,BANKNIFTY,20121119,15:00,11292.45,11292.45,11280.2,11286.8,2012NOVBNF.txt
11624,BANKNIFTY,20121119,15:30,11316.9,11317.35,11311.95,11316.85,2012NOVBNF.txt
11625,BANKNIFTY,20121120,09:16,11400.15,11409.8,11400.15,11401.75,2012NOVBNF.txt
11669,BANKNIFTY,20121120,10:00,11350.5,11351.2,11346.6,11348.95,2012NOVBNF.txt
11729,BANKNIFTY,20121120,11:00,11344.1,11346.3,11342.5,11345.85,2012NOVBNF.txt
11789,BANKNIFTY,20121120,12:00,11325.2,11326.7,11325.2,11326.15,2012NOVBNF.txt
11849,BANKNIFTY,20121120,13:00,11315.35,11315.9,11314.65,11315.8,2012NOVBNF.txt
11909,BANKNIFTY,20121120,14:00,11301.7,11305.9,11301.7,11304.6,2012NOVBNF.txt
11969,BANKNIFTY,20121120,15:00,11304.15,11306.55,11303.95,11306.3,2012NOVBNF.txt
11999,BANKNIFTY,20121120,15:30,11329.45,11332.75,11328.15,11328.4,2012NOVBNF.txt
12000,BANKNIFTY,20121121,09:16,11359.4,11359.4,11322.85,11322.85,2012NOVBNF.txt
12044,BANKNIFTY,20121121,10:00,11345.05,11347.95,11343.9,11345.25,2012NOVBNF.txt
12104,BANKNIFTY,20121121,11:00,11421.0,11423.15,11420.6,11421.85,2012NOVBNF.txt
